title,genre,views,likes,dislikes,description,duration,datePublished,uploadDate,key,channel,channel_url,channel_id,recommendations,id
Locksmith ripoffs: Hidden camera investigation (Marketplace),News & Politics,9053907,"87,692","5,086","Who do you call when you're locked out of your home? A locksmith. But industry experts tell us some of them are duping customers with the promise of a quick and cheap fix, only to end up ripping you off. CBC Marketplace uncovers a network of fake local business locations and fake five-star reviews cluttering Google Maps in the Greater Toronto Area.We also rig up a house with hidden cameras to test locksmiths advertising their services online, and expose how some companies use low prices, fake names, fake addresses and fake reviews to lure you in. Google says it is now auditing every locksmith listing in Canada following our investigation.To read more: https://www.cbc.ca/1.5417931  »»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWSConnect with CBC News Online:For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iXFind CBC News on Facebook: http://bit.ly/1WjG36mFollow CBC News on Twitter: http://bit.ly/1sA5P9HFor breaking news on Twitter: http://bit.ly/1WjDyksFollow CBC News on Instagram: http://bit.ly/1Z0iE7ODownload the CBC News app for iOS: http://apple.co/25mpsUzDownload the CBC News app for Android: http://bit.ly/1XxuozZ»»»»»»»»»»»»»»»»»»For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",PT20M47S,2020-01-10,2020-01-10,112424,CBC News,/channel/UCuFFtHWoLl5fauMMD5Ww2jA,UCuFFtHWoLl5fauMMD5Ww2jA,1,bvlzZnhZhrc
Convicted husband killer Sabrina Limon sentenced to 25 years to life in prison,News & Politics,124209,624,68,Judge sentences Sabrina Limon to 25 years to life plus 16 months in prison with no probation while also paying restitution,PT68M47S,2018-02-21,2018-02-21,111431,23 ABC News | KERO,/channel/UCaWhMr24lXlBatWGMh9yAdg,UCaWhMr24lXlBatWGMh9yAdg,20,StRybHQlc_g
Watch Sky News live,News & Politics,111456014,"195,347","41,928","Today's top stories: Prime Minister Boris Johnson has declared that ""our long, national hibernation is coming to an end"" as he announced the further easing of coronavirus lockdown restrictions on 4 July, but swimming pools, gyms, and beauty salons are among the businesses left out of the government's plan to re-open and the White House's top expert on infectious diseases has warned the US is experiencing a ""disturbing surge"" in coronavirus cases.🔴 COVID-19: Pubs, restaurants and salons to reopen as 2m rule eased https://trib.al/6TcHbLK🔴 What's not being allowed out of lockdown? https://trib.al/p9CPxeE🔴 US seeing 'disturbing surge' in COVID-19 cases, warns top White House expert https://trib.al/RN62fjp#SkyNewsLive #Coronavirus #COVID19SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews and https://twitter.com/skynewsbreak Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí https://www.youtube.com/skynewsespanol For more content go to http://news.sky.com and download our apps:  Apple https://itunes.apple.com/gb/app/sky-n... Android https://play.google.com/store/apps/de...",PT0M0S,2019-11-02,2019-11-02,112323,Sky News,/channel/UCoMdktPbSTixAyNGwb-UYkQ,UCoMdktPbSTixAyNGwb-UYkQ,20,9Auq9mYxFEE
Repeat offender gets 50 years for DWI crash that killed Arlington boy,News & Politics,740045,"5,514",216,FOX 4 is on Instagram - https://instagram.com/fox4news/FOX 4 News is a FOX-owned station serving Dallas-Fort Worth and all of North Texas.,PT3M50S,2015-07-29,2015-07-29,112334,FOX 4 News - Dallas-Fort Worth,/channel/UCruQg25yVBppUWjza8AlyZA,UCruQg25yVBppUWjza8AlyZA,20,v538dZgNoqw
Death Penalty,Film & Animation,5055348,"16,207","5,089","DEATH PENALTY - LAST WORD https://www.facebook.com/Adrian.B.Morinahttps://www.facebook.com/rosaelefant....PresentsA movie based on a true storyDEATH PENALTY by Adrian B. Morina     https://www.facebook.com/Adrian.B.MorinaThe ultimate wish of the convicted criminal, which shook everyone in the courtroom, in anticipation of the execution, asked as his last wish that the letter was handed over to his mother. The letter read:CASTAdrian B. Morina     CriminalRose-Marie Qwick Schönherr     MotherNabil Fakhro     Doctor NabbeKenneth Lindhe     PriestFriends of the Criminals:Sami CeljaPatrik PerssonBekim Baki Behar MorinaPrison guards :Sapko SinaniSuat Sinani Sebastian LönnbornHasan Al-batalAlejandro LagunaArber AvdullahuRasim HaxhaSiray Fahkro TV Reporters:Ekrem CeljaTarik El-BakriFilip Lindhe PerssonAhmed SalemCriminal underageArlind Celja Criminal as a teenagerArnis BytyqiThe teacherAlbi MorinassonStudents :Valentin Celja Jonathan Larsson Eriton GeciEndrit HajraTareq AlhashoushMaustafa WatanyerMuhammed ElzraieSeller in the storeBilal JakobRobber in the storeNaoufal El-Hage Director,Producer,Screenwriter :Adrian B. Morina Director of photography & EditorMentor SelaciBoom operator & Lighting technician Erduan SelaciMusicAstrit Hoti - HurricaneDirector of drone Patrik Persson Photographer Ekrem Celja Translator Arber Avdullahu  Xheneta Violeta TahiriDriver/Runner Behar MorinaSpecial Thanks to:Sinani Security ABSularpsfarmen Renonorden MB Productions Skaneb ABFordonscentralen i SkåneResponsible Publisher:   Adrian B. Morina",PT10M50S,2018-09-16,2018-09-16,1,ROSA ELEFANT PRODUKTION,/channel/UC22zI-_Ez5FOwZ6fviuRYCQ,UC22zI-_Ez5FOwZ6fviuRYCQ,20,2TDmVY5otlw
Dynel Lane sentenced to 100 years in prison,News & Politics,1519696,"8,684",426,"Dynel Lane was convicted of stealing Michelle Wilkins' baby after cutting her womb open when the victim responded to a Craigslist ad for maternity clothes.◂The Denver Channel, 7News, brings you the latest trusted news and information for Denver, Colorado, Mile High and the Rocky Mountains.Our mission is to provide useful, interesting news and updates on breaking news to people in the Denver metro area, all across our beautiful state of Colorado and all over the world.For more download the 7News mobile app:iPhone:  http://bit.ly/iOS-kmghAndroid:  http://bit.ly/kmgh-android",PT2M37S,2016-04-29,2016-04-29,111332,Denver7 – The Denver Channel,/channel/UC-2MJlKSq9_pYk5-bdvMhnw,UC-2MJlKSq9_pYk5-bdvMhnw,20,KuNX3NTqsUo
‘I’m the sheriff. Who are you?’: Oakland County Sheriff pulls over man posing as a cop,News & Politics,3633243,"32,719","1,189",Oakland County Sheriff Mike Bouchard had just gotten out of a meeting and was in a suit and tie driving down M-59 near Telegraph Road when he saw what looked like a police SUV.,PT3M2S,2020-02-06,2020-02-06,111344,Click On Detroit | Local 4 | WDIV,/channel/UCqMdEOPBZbGPykVOhUqWqfA,UCqMdEOPBZbGPykVOhUqWqfA,20,qpsBa1viI8c
2020 Mock Trial,Education,5151,104,0,"Carmel High School takes on Pacific Grove High for the Mock Trial Finals at the Monterey County Courthouse.The Mock Trial Program is an exciting law-related educational program that introduces high school students (grades 9-12) to the American legal system. Mock trials are structured like ""real"" court trials and follow the same rules. The program pairs students with mentors from the legal community. Through one-on-one interactions with attorney coaches, a student's understanding of the law is greatly enhanced.Through role-playing, students gain an understanding of our judicial system--what roles judges, lawyers, juries and witnesses play in the system. Additionally, students develop critical thinking and public speaking skills and a working knowledge of our legal practices and procedures.",PT118M16S,2020-04-02,2020-04-02,111424,MCAETtv,/channel/UC0CJKItQDoK3Uv3r4RirRsw,UC0CJKItQDoK3Uv3r4RirRsw,20,RlKs5V4zQnY
Meet America's Most Infamous Women Prisoners (Female Prison Documentary) | Real Stories,Education,8604213,"53,427","3,949","Veteran broadcaster Trevor McDonald ventures inside two prisons that hold some of America’s most notorious women criminals.Indiana Women’s Prison and the Rockville Correctional Facility in the State of Indiana hold over 1800 offenders. Some are serving long sentences for very violent crimes, others will never be released. Want to watch more full-length Documentaries? Click here: http://bit.ly/1GOzpIuFollow us on Twitter for more - https://twitter.com/realstoriesdocsFacebook - https://www.facebook.com/RealStoriesC...Instagram - @realstoriesdocsContent licensed from ITV Global. Any queries, please contact us at: owned-enquiries@littledotstudios.comProduced by ITV Studios",PT45M51S,2018-07-19,2018-07-19,113142,Women Behind Bars: Life And Death In Indiana,/playlist?list=PLKX-YBD4nIPdHQazMR3ZXnZfAsmqFRywT,UCu4XcDBdnZkV6-5z2f16M0g,19,SbUTHDxhmME
Raw video: Brandon Bradley sentenced to death,News & Politics,11287673,"38,971","5,820","Brandon Bradley, the man convicted of murdering Brevard County Sheriff's Deputy Barbara Pill in 2012, has been sentenced to death. Subscribe to WESH on YouTube now for more: http://bit.ly/1dqr14j  Get more Orlando news: http://wesh.com  Like us:http://facebook.com/wesh2news  Follow us: http://twitter.com/wesh  Google+: http://plus.google.com/+wesh",PT4M27S,2014-06-30,2014-06-30,111333,WESH 2 News,/channel/UCD9nZ3qeRGbPuHJaJduiQxA,UCD9nZ3qeRGbPuHJaJduiQxA,20,XOv7MqfIA9Y
Mark Sievers Trial - Prosecution Rebuttal Closing Argument,Education,27238,232,12,"Mark Sievers Trial    Prosecution Rebuttal Closing ArgumentMark Sievers , 51, stands trial in Lee County, Florida allegedly orchestrating the murder of his wife Dr. Teresa Sievers, 46. He got friend Curtis Wayne Wright Jr., 51, to do it, and this killer got another man, Jimmy Ray Rodgers, 29, to help, prosecutors said. Wright and Rodgers ambushed the victim while she was supposed to be home alone one day in 2015 after she returned early from a family vacation, authorities said.As far as prosecutors is concerned, Mark Sievers is the last man they have to take down to get justice for Dr. Sievers. Wright flipped, pleaded guilty to second-degree murder, and agreed to testify against his alleged co-conspirators. He testified against Rodgers, who was charged with first-degree murder, and convicted of second-degree murder last month. This defendant was also convicted of conspiracy to commit murder and trespassing.READ MORE: https://lawandcrime.com/live-trials/l...#SieversTrial #MarkSievers #DrTeresaSievers",PT45M1S,2019-12-04,2019-12-04,111413,Law & Crime Network,/channel/UCz8K1occVvDTYDfFo7N5EZw,UCz8K1occVvDTYDfFo7N5EZw,20,AtQ55JSr8OU
Video shows takedown of convicted child predator,News & Politics,60728,578,23,"When a convicted rapist and child molester came to Colorado from Georgia to meet up with a 14-year-old, he was in for a nasty surprise. Theresa Marchetta reports.◂The Denver Channel, 7News, brings you the latest trusted news and information for Denver, Colorado, Mile High and the Rocky Mountains.Our mission is to provide useful, interesting news and updates on breaking news to people in the Denver metro area, all across our beautiful state of Colorado and all over the world.For more download the 7News mobile app:iPhone:  http://bit.ly/iOS-kmghAndroid:  http://bit.ly/kmgh-android",PT3M59S,2015-04-23,2015-04-23,11241,Denver7 – The Denver Channel,/channel/UC-2MJlKSq9_pYk5-bdvMhnw,UC-2MJlKSq9_pYk5-bdvMhnw,20,7SGDYI87vPI
19-year-old sentenced to death,News & Politics,10455174,"67,347","4,304",Austin Myers shows no emotion at judge's ruling,PT2M8S,2014-10-16,2014-10-16,11132,WCPO 9,/channel/UCQaDjAIpg-pd44ats-HXCyA,UCQaDjAIpg-pd44ats-HXCyA,20,i8Dfp8ujQ94
Jimmie Rodgers - A Singer Silenced,Nonprofits & Activism,340026,"2,222",78,"This is the story of singer Jimmie Rodgers whose successful pop career was cut short by Spasmodic Dysphonia, a vocal disorder that affects the nerves and muscles that control the larynx.",PT9M5S,2010-12-20,2010-12-20,111142,NSDA300,/channel/UCbYlnqIxYmd3ruxofs5a2dA,UCbYlnqIxYmd3ruxofs5a2dA,20,aySlePJT-XE
BMW CEO Collapses on Stage,News & Politics,9492516,"52,517","2,580","BMW CEO Harald Krüger collapsed during a news conference at the Frankfurt auto show on Tuesday. Mr. Krüger's condition wasn’t serious, the company said later.Subscribe to the WSJ channel here:http://bit.ly/14Q81XyMore from the Wall Street Journal:Visit WSJ.com: http://www.wsj.comFollow WSJ on Facebook: http://www.facebook.com/wsjvideoFollow WSJ on Google+: https://plus.google.com/+wsj/postsFollow WSJ on Twitter: https://twitter.com/WSJvideoFollow WSJ on Instagram: http://instagram.com/wsjFollow WSJ on Pinterest: http://www.pinterest.com/wsj/ Don’t miss a WSJ video, subscribe here: http://bit.ly/14Q81XyMore from the Wall Street Journal: Visit WSJ.com: http://www.wsj.comVisit the WSJ Video Center: https://wsj.com/videoOn Facebook: https://www.facebook.com/pg/wsj/videos/On Twitter: https://twitter.com/WSJOn Snapchat: https://on.wsj.com/2ratjSM",PT0M40S,2015-09-15,2015-09-15,11343,Wall Street Journal,/channel/UCK7tptUDHh-RYDsdxO1-5QQ,UCK7tptUDHh-RYDsdxO1-5QQ,20,E8FPTilI4D0
Power Foods for the Brain | Neal Barnard | TEDxBismarck,Nonprofits & Activism,5687897,"100,774","4,294","NOTE FROM TED: Please do not look to this talk for medical advice. The speaker makes assertions about a specific diet that lack sufficient scientific evidence for general prescription. TEDx events are independently organized by volunteers. The guidelines we give TEDx organizers are described in more detail here: http://storage.ted.com/tedx/manuals/t...Dr. Barnard has led numerous research studies investigating the effects of diet on diabetes, body weight, and chronic pain, including a groundbreaking study of dietary interventions in type 2 diabetes, funded by the National Institutes of Health. Dr. Barnard has authored over 70 scientific publications as well as 17 books.  As president of the Physicians Committee, Dr. Barnard leads programs advocating for preventive medicine, good nutrition, and higher ethical standards in research. He has hosted three PBS television programs on nutrition and health and is frequently called on by news programs to discuss issues related to nutrition and research.  Originally from Fargo, North Dakota, Dr. Barnard received his M.D. degree at the George Washington University School of Medicine and completed his residency at the same institution. He practiced at St. Vincent’s Hospital in New York before returning to Washington to found the Physicians Committee.This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",PT17M1S,2016-09-20,2016-09-20,113242,TEDx Talks,/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,UCsT0YIqwnpJCM-mx7-gSA4Q,20,v_ONFix_e4k
Defense's Closing: Part 2,News & Politics,30170,68,14,Part 2 of the defense's closing argument in the Casey Anthony murder trial.,PT18M58S,2011-07-03,2011-07-03,111441,WESH 2 News,/channel/UCD9nZ3qeRGbPuHJaJduiQxA,UCD9nZ3qeRGbPuHJaJduiQxA,20,SvJIbem1WFQ
Michelle Leclair Shares Her Story Of Leaving Scientology | Megyn Kelly TODAY,News & Politics,1355746,"6,185",796,"Michelle LeClair, former scientologist and author of “Perfectly Clear,” shares her story of leaving the church after having been a member since 1989. In her book, LeClair claims that government investigations into her and her business partner were instigated by the Church of Scientology, a claim the church, as well as an official for the California Dept. of Business Oversight denies.» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY» Watch the latest from TODAY: http://bit.ly/LatestTODAYAbout: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.  Connect with TODAY Online!Visit TODAY's Website: http://on.today.com/ReadTODAYFind TODAY on Facebook: http://on.today.com/LikeTODAYFollow TODAY on Twitter: http://on.today.com/FollowTODAYFollow TODAY on Google+: http://on.today.com/PlusTODAYFollow TODAY on Instagram: http://on.today.com/InstaTODAYFollow TODAY on Pinterest: http://on.today.com/PinTODAYMichelle LeClair Shares Her Story Of Leaving Scientology | Megyn Kelly TODAY",PT20M56S,2018-09-10,2018-09-10,113221,TODAY,/channel/UChDKyKQ59fYz3JO2fl0Z6sg,UChDKyKQ59fYz3JO2fl0Z6sg,20,6tIB_mqR1uw
Parents of cheerleader tried for murdering her newborn speak out,News & Politics,34719,170,90,"A former high school cheerleader on trial for killing her newborn baby was recently acquitted of charges that included aggravated murder. Brooke Skylar Richardson secretly gave birth at her Ohio home and buried her stillborn daughter in her backyard. Her parents are talking about the case in their first television interview. Erin Moriarty reports.Watch ""CBS This Morning"" HERE: http://bit.ly/1T88yARDownload the CBS News app on iOS HERE: https://apple.co/1tRNnUyDownload the CBS News app on Android HERE: https://bit.ly/1IcphuXLike ""CBS This Morning"" on Facebook HERE: http://on.fb.me/1LhtdvIFollow ""CBS This Morning"" on Twitter HERE: http://bit.ly/1Xj5W3pFollow ""CBS This Morning"" on Instagram HERE: http://bit.ly/1Q7NGnYGet new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B Each weekday morning, ""CBS This Morning"" co-hosts Gayle King, Anthony Mason and Tony Dokoupil deliver two hours of original reporting, breaking news and top-level newsmaker interviews in an engaging and informative format that challenges the norm in network morning news programs. The broadcast has earned a prestigious Peabody Award, a Polk Award, four News & Documentary Emmys, three Daytime Emmys and the 2017 Edward R. Murrow Award for Best Newscast. The broadcast was also honored with an Alfred I. duPont-Columbia Award as part of CBS News division-wide coverage of the shootings at Sandy Hook Elementary School in Newtown, Connecticut. Check local listings for ""CBS This Morning"" broadcast times.",PT4M17S,2019-09-27,2019-09-27,11311,CBS This Morning,/channel/UC-SJ6nODDmufqBzPBwCvYvQ,UC-SJ6nODDmufqBzPBwCvYvQ,20,ZPf8uqezCwY
Jimmie Rodgers Live Promotion Video,Entertainment,6952,112,2,"Here's the legendary Jimmie Rodgers in highlights from his recent performances.  Jimmie's many million sellers include ""Honeycomb,"" ""Kisses Sweeter Than Wine,"" ""Oh, Oh I'm Falling in Love Again,"" ""Are You Really Mine,"" ""The Long Hot Summer,"" ""Child of Clay"" and ""It's Over"".",PT8M39S,2014-10-02,2014-10-02,11122,Alan Eichler,/channel/UC7FDfTA6Yh5XA4aQymrmS5Q,UC7FDfTA6Yh5XA4aQymrmS5Q,19,D-QZETFMzeY
Jimmy Rodgers Trial - Prosecution Rebuttal Closing Argument,Education,7315,97,6,Jimmy Rodgers Trial - Prosecution Rebuttal Closing Argument#JimmyRodgersTrial #SieversTrial #TeresaSievers,PT48M29S,2019-10-21,2019-10-21,11141,Law & Crime Network,/channel/UCz8K1occVvDTYDfFo7N5EZw,UCz8K1occVvDTYDfFo7N5EZw,20,fXiVXniNR8o
Judge gets emotional during sentencing of Ohio man who sexually abused 2 girls,News & Politics,2300672,"67,292",969,"VIEWER DISCRETION ADVISED DUE TO GRAPHIC DETAILSA Franklin County judge didn't hide her emotions as she sentenced a Grandview Heights, Ohio man to 22 years in prison for sexually abusing two children at a daycare ran by his wife. https://abc6onyourside.com/news/local...#ABC6OnYourSide___________________________Follow WSYX ABC 6 on social media:WSYX Facebook: https://www.facebook.com/WSYXABC6WSYX Twitter: https://www.twitter.com/WSYX6WSYX Instagram: https://www.instagram.com/WSYX6Subscribe to WSYX ABC 6 on YouTube: https://www.youtube.com/user/wsyxonyo...For the day's top stories, visit our website:https://abc6onyourside.com/",PT3M32S,2020-03-03,2020-03-03,112344,Columbus,/results?search_query=Columbus&sp=EiG4AQHCARtDaElKY2Q2UXVjR0pPSWdSTTdXeHpfaG1NdVE%253D,UC6HHWRGuLD11spg9DxKAZlQ,20,JQz1pD2cx6o
Handcuffed Hero: Good Samaritan arrested after saving woman's life,People & Blogs,1146601,"20,780",381,"11Alive's Chief Investigator Brendan Keefe has the story. He spent decades saving others, but the last life this retired fire chief saved, cost him his freedom.  https://on.11alive.com/2Jw08Eg11Alive is Where Atlanta Speaks. We believe that news shouldn’t be a one-way conversation, but a dialogue with you. Join in, share your thoughts and connect with new perspectives. Follow 11Alive on Social: Facebook: https://www.facebook.com/11Alive/ Twitter: https://twitter.com/11AliveNews Instagram: https://www.instagram.com/11Alive/ Subscribe to 11Alive for exclusive content: http://bit.ly/11AliveSubscribe Visit Site: https://www.11Alive.com/",PT5M32S,2018-02-04,2018-02-04,112444,11Alive,/channel/UCzF4Ryn8TKn64md77gS5Q5Q,UCzF4Ryn8TKn64md77gS5Q5Q,20,fpw3ISEoVvA
Curtis Wright testifies against best friend Mark Sievers (Part 1),News & Politics,61973,227,29,"On November 21, 2019, Curtis Wright provided testimony that Mark Sievers hired him and Jimmy Rodgers to kill Teresa Sievers in 2015.",PT103M9S,2019-11-22,2019-11-22,11111,FOX 4 Now,/channel/UC2rLSYDm92QMytS9yIkT8UQ,UC2rLSYDm92QMytS9yIkT8UQ,20,LC6WL8cX_nE
